true_label,window_size_ms,stride_ms,fold_seed,train_windows,test_windows,val_subjects,best_epoch,val_j,val_f1,val_acc,threshold,test_median_prob,test_pred,test_correct,signed_margin,fold,pid,window_label,train_subjects,validation_subjects_available
1,1500,750,63,15090,237,9,5,0.9999999550000009,1.0,1.0,0.4400000000000001,0.8994140625,1,1,0.4594140624999999,21,23,1500/750,47,9
1,1000,500,63,23914,389,9,5,0.9999999550000009,1.0,1.0,0.4100000000000001,0.86962890625,1,1,0.4596289062499999,21,23,1000/500,47,9
1,2000,500,63,20484,314,9,10,0.9999999550000009,1.0,1.0,0.4000000000000001,0.7900390625,1,1,0.3900390624999999,21,23,2000/500,47,9
1,2000,1000,64,11057,232,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.39000000000000007,0.3916015625,1,1,0.0016015624999999312,22,24,2000/1000,47,9
1,1500,750,64,15751,335,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.38000000000000006,0.388671875,1,1,0.00867187499999994,22,24,1500/750,47,9
1,1000,500,64,25026,541,9,1,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.4300000000000001,0.4248046875,0,0,-0.005195312500000104,22,24,1000/500,47,9
1,2000,500,64,21405,464,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.3,0.35791015625,1,1,0.05791015625000001,22,24,2000/500,47,9
1,2000,1000,65,10014,196,9,1,0.9999999550000009,1.0,1.0,0.48000000000000015,0.51025390625,1,1,0.03025390624999985,23,25,2000/1000,47,9
1,1500,750,65,14287,267,9,1,0.9999999550000009,1.0,1.0,0.48000000000000015,0.53125,1,1,0.05124999999999985,23,25,1500/750,47,9
1,1000,500,65,22708,404,9,1,0.9999999550000009,1.0,1.0,0.48000000000000015,0.5810546875,1,1,0.10105468749999985,23,25,1000/500,47,9
1,2000,500,65,19298,398,9,1,0.9999999550000009,1.0,1.0,0.4300000000000001,0.51611328125,1,1,0.0861132812499999,23,25,2000/500,47,9
1,2000,1000,66,10622,194,9,3,0.9999999550000009,1.0,1.0,0.38000000000000006,0.2958984375,0,0,-0.08410156250000006,24,26,2000/1000,47,9
1,1500,750,66,15193,268,9,1,0.9999999550000009,1.0,1.0,0.46000000000000013,0.439453125,0,0,-0.02054687500000013,24,26,1500/750,47,9
