true_label,window_size_ms,stride_ms,fold_seed,train_windows,test_windows,val_subjects,best_epoch,val_j,val_f1,val_acc,threshold,test_median_prob,test_pred,test_correct,signed_margin,fold,pid,window_label,train_subjects,validation_subjects_available
0,2000,1000,73,10698,159,9,1,0.9999999550000009,1.0,1.0,0.5200000000000002,0.52001953125,1,0,-1.9531249999760192e-05,31,33,2000/1000,47,9
0,1500,750,73,15263,233,9,1,0.9999999550000009,1.0,1.0,0.49000000000000016,0.494384765625,1,0,-0.004384765624999842,31,33,1500/750,47,9
0,1000,500,73,24240,379,9,1,0.9999999550000009,1.0,1.0,0.4200000000000001,0.45703125,1,0,-0.037031249999999905,31,33,1000/500,47,9
0,2000,500,73,20672,292,9,1,0.9999999550000009,1.0,1.0,0.4200000000000001,0.46435546875,1,0,-0.044355468749999905,31,33,2000/500,47,9
0,2000,1000,74,10721,111,9,1,0.9999999550000009,1.0,1.0,0.5000000000000002,0.453857421875,0,1,0.04614257812500022,32,34,2000/1000,47,9
0,1500,750,74,15273,170,9,1,0.9999999550000009,1.0,1.0,0.4200000000000001,0.3701171875,0,1,0.049882812500000095,32,34,1500/750,47,9
0,1000,500,74,24235,288,9,1,0.9999999550000009,1.0,1.0,0.4400000000000001,0.365478515625,0,1,0.07452148437500011,32,34,1000/500,47,9
0,2000,500,74,20773,193,9,1,0.9999999550000009,1.0,1.0,0.4100000000000001,0.34619140625,0,1,0.06380859375000009,32,34,2000/500,47,9
0,2000,1000,75,10537,139,9,2,0.9999999550000009,1.0,1.0,0.46000000000000013,0.5556640625,1,0,-0.09566406249999987,33,35,2000/1000,47,9
0,1500,750,75,15016,202,9,1,0.9999999550000009,1.0,1.0,0.5100000000000002,0.525390625,1,0,-0.015390624999999769,33,35,1500/750,47,9
0,1000,500,75,23828,332,9,1,0.9999999550000009,1.0,1.0,0.47000000000000014,0.53125,1,0,-0.06124999999999986,33,35,1000/500,47,9
0,2000,500,75,20331,252,9,2,0.9999999550000009,1.0,1.0,0.5600000000000003,0.638671875,1,0,-0.07867187499999972,33,35,2000/500,47,9
0,2000,1000,76,10387,482,9,2,0.7999999590000009,0.8888888888888888,0.8888888888888888,0.34,0.35791015625,1,0,-0.017910156249999976,34,36,2000/1000,47,9
0,1500,750,76,14817,693,9,5,0.9999999550000009,1.0,1.0,0.39000000000000007,0.3466796875,0,1,0.04332031250000007,34,36,1500/750,47,9
0,1000,500,76,23563,1131,9,7,0.9999999550000009,1.0,1.0,0.4500000000000001,0.443359375,0,1,0.006640625000000122,34,36,1000/500,47,9
0,2000,500,76,20088,934,9,11,0.9999999550000009,1.0,1.0,0.4500000000000001,0.193359375,0,1,0.2566406250000001,34,36,2000/500,47,9
0,2000,1000,77,10006,274,9,2,0.9999999550000009,1.0,1.0,0.46000000000000013,0.327880859375,0,1,0.13211914062500013,35,37,2000/1000,47,9
